,admin2Name,Name (merged),ADM2_PCODE,lat,lon,,,,,,,
672,"Calamar, Guaviare",Calamar,CO95015,1.9205555555555553,-72.55416666666666,,,,,,,
888,Calarcá,Calarcá,CO63130,4.533333333333333,-75.65,,,,,,,
33,"Caldas, Antioquia",Caldas,CO05129,6.09,-75.638,,,,,,,
235,"Caldas, Boyacá",Caldas,CO15131,5.5575,-73.8686,,,,,,,
415,"Caldono, Cauca",Caldono,CO19137,2.8,-76.53333333333333,,,,,,,
1080,Cali,Cali,CO76001,3.4205555555555556,-76.52222222222223,,,,,,,
923,"California, Santander",California,CO68132,7.35,-72.96666666666667,,,,,,,
1081,"Calima, Valle del Cauca",Calima,CO76126,3.9166666666666665,-76.66666666666667,,,,,,,
416,"Caloto, Cauca",Caloto,CO19142,3.033333333333333,-76.41666666666667,,,,,,,
34,"Campamento, Antioquia",Campamento,CO05134,6.978888888888889,-75.29638888888888,,,,,,,
142,Campo de la Cruz,Campo de la Cruz,CO08137,10.377777777777778,-74.88138888888888,,,,,,,
682,Campoalegre,Campoalegre,CO41132,2.686666666666667,-75.32555555555555,,,,,,,
236,Campohermoso,Campohermoso,CO15135,5.083333333333333,-73,,,,,,,
508,Canalete,Canalete,CO23090,8.79,-76.2411,,,,,,,
35,Cañasgordas,Cañasgordas,CO05138,6.749722222222222,-76.02583333333334,,,,,,,
143,"Candelaria, Atlántico",Candelaria,CO08141,10.459167,-74.880556,,,,,,,
1082,"Candelaria, Valle del Cauca",Candelaria,CO76130,3.4,-76.38333333333334,,,,,,,
188,"Cantagallo, Bolívar",Cantagallo,CO13160,7.37611111111111,-73.91527777777779,,,,,,,
547,Caparrapí,Caparrapí,CO25148,5.344166666666666,-74.49166666666667,,,,,,,
924,"Capitanejo, Santander",Capitanejo,CO68147,6.533333333333333,-72.7,,,,,,,
548,Cáqueza,Cáqueza,CO25151,4.405277777777778,-73.94777777777779,,,,,,,
36,Caracolí,Caracolí,CO05142,6.41194,-74.7606,,,,,,,
37,Caramanta,Caramanta,CO05145,5.583333333333333,-75.58333333333333,,,,,,,
925,Carcasí,Carcasí,CO68152,6.633333333333333,-72.63333333333334,,,,,,,
38,Carepa,Carepa,CO05147,7.757777777777778,-76.65527777777778,,,,,,,
549,Carmen de Carupa,Carmen de Carupa,CO25154,5.3502777777777775,-73.90527777777778,,,,,,,
376,Cartagena del Chairá,Cartagena del Chairá,CO18150,1.35,-74.83333333333333,,,,,,,
1083,"Cartago, Valle del Cauca",Cartago,CO76147,4.7,"-
75.91666666666667",,,,,,,
1033,"Casabianca, Tolima",Casabianca,CO73152,5.083333333333333,-75.11666666666666,,,,,,,
